country,country_code,year,illiteracy_rate,literacy_rate
oceania (excluding australia and new zealand) (sdg),Unknown,1999,34.81904,65.18096
oceania (excluding australia and new zealand) (sdg),Unknown,2000,34.64868,65.35132
oceania (excluding australia and new zealand) (sdg),Unknown,2001,34.32618,65.67382
oceania (excluding australia and new zealand) (sdg),Unknown,2002,34.016037,65.98396
oceania (excluding australia and new zealand) (sdg),Unknown,2003,33.715103,66.2849
oceania (excluding australia and new zealand) (sdg),Unknown,2004,33.417686,66.58231
oceania (excluding australia and new zealand) (sdg),Unknown,2005,33.13874,66.86126
oceania (excluding australia and new zealand) (sdg),Unknown,2006,32.86789,67.13211
oceania (excluding australia and new zealand) (sdg),Unknown,2007,32.602203,67.3978
oceania (excluding australia and new zealand) (sdg),Unknown,2008,32.346893,67.65311
oceania (excluding australia and new zealand) (sdg),Unknown,2009,32.10852,67.89148
oceania (excluding australia and new zealand) (sdg),Unknown,2010,31.872818,68.12718
oceania (excluding australia and new zealand) (sdg),Unknown,2011,31.986237,68.01376
oceania (excluding australia and new zealand) (sdg),Unknown,2012,32.097633,67.90237
oceania (excluding australia and new zealand) (sdg),Unknown,2013,32.20893,67.79107
oceania (excluding australia and new zealand) (sdg),Unknown,2017,32.708633,67.29137
oceania (excluding australia and new zealand) (sdg),Unknown,2018,32.81302,67.18698
oceania (excluding australia and new zealand) (sdg),Unknown,2019,32.91362,67.08638
oceania (excluding australia and new zealand) (sdg),Unknown,2020,33.010277,66.98972
oceania (excluding australia and new zealand) (sdg),Unknown,2021,33.03247,66.96753
oman,OMN,2003,34.0,66.0
oman,OMN,2008,13.0,87.0
oman,OMN,2010,13.0,87.0
oman,OMN,2015,7.0,93.0
oman,OMN,2017,4.0,96.0
oman,OMN,2018,4.0,96.0
oman,OMN,2020,3.0,97.0
oman,OMN,2022,3.0,97.0
pakistan,PAK,1998,57.0,43.0
pakistan,PAK,2005,50.0,50.0
pakistan,PAK,2006,46.0,54.0
pakistan,PAK,2007,48.0,52.0
pakistan,PAK,2008,44.0,56.0
pakistan,PAK,2009,45.0,55.0
pakistan,PAK,2010,45.0,55.0
pakistan,PAK,2011,45.0,55.0
pakistan,PAK,2012,43.0,57.0
pakistan,PAK,2013,44.0,56.0
pakistan,PAK,2014,43.0,57.0
pakistan,PAK,2017,41.0,59.0
pakistan,PAK,2018,43.0,57.0
pakistan,PAK,2019,42.0,58.0
pakistan,PAK,2021,41.1439,58.8561
palau,PLW,2013,0.0,100.0
palau,PLW,2015,3.0,97.0
palestine,PSE,1997,14.0,86.0
palestine,PSE,2004,8.0,92.0
palestine,PSE,2006,7.0,93.0
palestine,PSE,2007,6.0,94.0
palestine,PSE,2008,6.0,94.0
palestine,PSE,2009,6.0,94.0
palestine,PSE,2010,5.0,95.0
palestine,PSE,2011,5.0,95.0
palestine,PSE,2012,4.0,96.0
palestine,PSE,2013,4.0,96.0
palestine,PSE,2014,4.0,96.0
palestine,PSE,2015,4.0,96.0
palestine,PSE,2016,3.0,97.0
palestine,PSE,2017,3.0,97.0
palestine,PSE,2018,3.0,97.0
palestine,PSE,2019,3.0,97.0
palestine,PSE,2020,2.0,98.0
palestine,PSE,2022,2.0,98.0
panama,PAN,1990,11.0,89.0
panama,PAN,2000,8.0,92.0
panama,PAN,2010,6.0,94.0
panama,PAN,2018,5.0,95.0
panama,PAN,2019,4.0,96.0
papua new guinea,PNG,2000,43.0,57.0
papua new guinea,PNG,2017,29.936317,70.06368
paraguay,PRY,1992,10.0,90.0
paraguay,PRY,2007,5.0,95.0
paraguay,PRY,2008,7.0,93.0
paraguay,PRY,2009,6.0,94.0
paraguay,PRY,2010,6.0,94.0
paraguay,PRY,2012,6.0,94.0
paraguay,PRY,2013,5.0,95.0
paraguay,PRY,2014,5.0,95.0
paraguay,PRY,2015,4.0,96.0
paraguay,PRY,2016,5.0,95.0
paraguay,PRY,2018,6.0,94.0
paraguay,PRY,2019,7.0,93.0
paraguay,PRY,2020,5.0,95.0
peru,PER,1993,13.0,87.0
peru,PER,2004,12.0,88.0
peru,PER,2005,12.0,88.0
peru,PER,2006,11.0,89.0
peru,PER,2007,10.0,90.0
peru,PER,2012,6.0,94.0
peru,PER,2014,6.0,94.0
peru,PER,2015,6.0,94.0
peru,PER,2016,6.0,94.0
peru,PER,2017,6.0,94.0
peru,PER,2018,6.0,94.0
peru,PER,2020,6.0,94.0
philippines,PHL,1990,6.0,94.0
philippines,PHL,1994,6.0,94.0
philippines,PHL,2000,7.0,93.0
philippines,PHL,2003,7.0,93.0
philippines,PHL,2008,5.0,95.0
philippines,PHL,2013,4.0,96.0
philippines,PHL,2015,2.0,98.0
philippines,PHL,2019,4.0,96.0
philippines,PHL,2020,2.0,98.0
portugal,PRT,1991,12.0,88.0
portugal,PRT,2011,6.0,94.0
puerto rico,PRI,1990,10.0,90.0
puerto rico,PRI,2010,8.0,92.0
puerto rico,PRI,2017,8.0,92.0
qatar,QAT,1997,17.0,83.0
qatar,QAT,2004,11.0,89.0
qatar,QAT,2007,7.0,93.0
qatar,QAT,2008,6.0,94.0
qatar,QAT,2009,5.0,95.0
qatar,QAT,2010,4.0,96.0
qatar,QAT,2011,4.0,96.0
qatar,QAT,2012,3.0,97.0
qatar,QAT,2013,3.0,97.0
qatar,QAT,2014,2.0,98.0
romania,ROU,1992,3.0,97.0
romania,ROU,2002,3.0,97.0
romania,ROU,2011,1.0,99.0
romania,ROU,2021,1.0,99.0
russian federation,RUS,2002,1.0,99.0
russian federation,RUS,2010,0.0,100.0
russian federation,RUS,2021,0.0,100.0
rwanda,RWA,1991,42.0,58.0
rwanda,RWA,2000,35.0,65.0
rwanda,RWA,2012,32.0,68.0
rwanda,RWA,2014,29.0,71.0
rwanda,RWA,2018,27.0,73.0
rwanda,RWA,2020,19.949142,80.05086
rwanda,RWA,2022,21.0,79.0
saint helena,SHN,1998,3.0,97.0
samoa,WSM,1991,2.0,98.0
samoa,WSM,2011,1.0,99.0
samoa,WSM,2016,1.0,99.0
samoa,WSM,2019,2.0097427,97.99026
san marino,SMR,2022,0.0,100.0
sao tome and principe,STP,1991,27.0,73.0
sao tome and principe,STP,2001,15.0,85.0
sao tome and principe,STP,2012,10.0,90.0
sao tome and principe,STP,2019,12.561539,87.43846
saudi arabia,SAU,1992,29.0,71.0
saudi arabia,SAU,2000,21.0,79.0
saudi arabia,SAU,2004,17.0,83.0
saudi arabia,SAU,2013,6.0,94.0
saudi arabia,SAU,2017,5.0,95.0
saudi arabia,SAU,2020,2.0,98.0
senegal,SEN,2002,61.0,39.0
senegal,SEN,2006,58.0,42.0
senegal,SEN,2009,52.0,48.0
senegal,SEN,2011,48.0,52.0
senegal,SEN,2013,56.0,44.0
senegal,SEN,2015,56.40727,43.59273
senegal,SEN,2016,53.90036,46.09964
senegal,SEN,2017,48.0,52.0
senegal,SEN,2018,53.39409,46.60591
senegal,SEN,2019,53.16633,46.83367
senegal,SEN,2023,49.64418,50.35582
serbia,SRB,2003,4.0,96.0
serbia,SRB,2011,2.0,98.0
serbia,SRB,2016,1.0,99.0
serbia,SRB,2019,1.0,99.0
seychelles,SYC,1994,12.0,88.0
seychelles,SYC,2002,8.0,92.0
seychelles,SYC,2010,6.0,94.0
sierra leone,SLE,2004,65.0,35.0
sierra leone,SLE,2017,55.16682,44.83318
sierra leone,SLE,2019,56.42222,43.57778
singapore,SGP,1990,11.0,89.0
singapore,SGP,2000,7.0,93.0
singapore,SGP,2010,4.0,96.0
singapore,SGP,2011,4.0,96.0
singapore,SGP,2012,4.0,96.0
singapore,SGP,2013,3.0,97.0
singapore,SGP,2014,3.0,97.0
singapore,SGP,2015,3.0,97.0
singapore,SGP,2016,3.0,97.0
singapore,SGP,2017,3.0,97.0
singapore,SGP,2018,3.0,97.0
singapore,SGP,2019,3.0,97.0
singapore,SGP,2020,3.0,97.0
singapore,SGP,2021,2.0,98.0
slovenia,SVN,1991,0.0,100.0
solomon islands,SLB,1999,23.0,77.0
somalia,SOM,2022,46.0,54.0
south africa,ZAF,1996,18.0,82.0
south africa,ZAF,2007,11.0,89.0
south africa,ZAF,2009,7.0,93.0
south africa,ZAF,2010,7.0,93.0
south africa,ZAF,2011,7.0,93.0
south africa,ZAF,2012,6.0,94.0
south africa,ZAF,2014,6.0,94.0
south africa,ZAF,2015,6.0,94.0
south africa,ZAF,2016,8.262756,91.73724
south africa,ZAF,2017,13.0,87.0
south africa,ZAF,2019,5.0,95.0
south africa,ZAF,2021,10.0,90.0
south asia (wb),Unknown,1990,54.64079,45.35921
south asia (wb),Unknown,1991,53.91436,46.08564
south asia (wb),Unknown,1992,52.91367,47.08633
south asia (wb),Unknown,1993,51.91854,48.08146
south asia (wb),Unknown,1994,51.15062,48.84938
south asia (wb),Unknown,1995,50.35951,49.64049
south asia (wb),Unknown,1996,49.5508,50.4492
south asia (wb),Unknown,1997,48.73983,51.26017
south asia (wb),Unknown,1998,43.92044,56.07956
south asia (wb),Unknown,1999,43.12369,56.87631
south asia (wb),Unknown,2000,42.34942,57.65058
south asia (wb),Unknown,2001,41.58694,58.41306
south asia (wb),Unknown,2002,40.79687,59.20313
south asia (wb),Unknown,2003,39.90422,60.09578
south asia (wb),Unknown,2004,39.12383,60.87617
south asia (wb),Unknown,2005,39.32633,60.67367
south asia (wb),Unknown,2006,39.15124,60.84876
south asia (wb),Unknown,2007,38.31608,61.68392
south asia (wb),Unknown,2008,37.4037,62.5963
south asia (wb),Unknown,2009,36.54199,63.45801
south asia (wb),Unknown,2010,33.97104,66.02896
south asia (wb),Unknown,2011,33.37014,66.62986
south asia (wb),Unknown,2012,33.32341,66.67659
south asia (wb),Unknown,2013,32.294243,67.70576
south asia (wb),Unknown,2014,31.544838,68.45516
south asia (wb),Unknown,2015,30.21785,69.78215
south asia (wb),Unknown,2016,28.894218,71.10578
south asia (wb),Unknown,2017,28.332169,71.66783
south asia (wb),Unknown,2018,27.807938,72.19206
south asia (wb),Unknown,2019,28.033974,71.96603
south asia (wb),Unknown,2020,27.31681,72.68319
south asia (wb),Unknown,2021,26.520988,73.47901
south asia (wb),Unknown,2022,25.734734,74.26527
south asia (wb),Unknown,2023,24.99115,75.00885
south sudan,SSD,2008,73.0,27.0
spain,ESP,1991,4.0,96.0
spain,ESP,2004,3.0,97.0
spain,ESP,2005,2.0,98.0
spain,ESP,2006,2.0,98.0
spain,ESP,2007,2.0,98.0
spain,ESP,2008,2.0,98.0
spain,ESP,2009,2.0,98.0
spain,ESP,2010,2.0,98.0
spain,ESP,2011,2.0,98.0
spain,ESP,2012,2.0,98.0
spain,ESP,2013,2.0,98.0
spain,ESP,2014,2.0,98.0
spain,ESP,2015,2.0,98.0
spain,ESP,2016,2.0,98.0
spain,ESP,2018,2.0,98.0
spain,ESP,2020,1.0,99.0
spain,ESP,2021,0.0,100.0
sri lanka,LKA,2001,9.0,91.0
sri lanka,LKA,2006,9.0,91.0
sri lanka,LKA,2008,9.0,91.0
sri lanka,LKA,2010,9.0,91.0
sri lanka,LKA,2016,8.0,92.0
sri lanka,LKA,2017,8.0,92.0
sri lanka,LKA,2018,8.0,92.0
sri lanka,LKA,2019,8.0,92.0
sri lanka,LKA,2020,8.0,92.0
sri lanka,LKA,2021,8.0,92.0
sri lanka,LKA,2022,8.0,92.0
sri lanka,LKA,2023,7.0,93.0
sub-saharan africa (sdg),Unknown,1990,47.88726,52.11274
sub-saharan africa (sdg),Unknown,1991,47.52408,52.47592
sub-saharan africa (sdg),Unknown,1992,47.02835,52.97165
sub-saharan africa (sdg),Unknown,1993,46.4234,53.5766
sub-saharan africa (sdg),Unknown,1994,45.79638,54.20362
sub-saharan africa (sdg),Unknown,1995,45.36831,54.63169
sub-saharan africa (sdg),Unknown,1996,44.73172,55.26828
sub-saharan africa (sdg),Unknown,1997,43.90442,56.09558
sub-saharan africa (sdg),Unknown,1998,43.24914,56.75086
sub-saharan africa (sdg),Unknown,1999,42.40516,57.59484
sub-saharan africa (sdg),Unknown,2000,43.6094,56.3906
sub-saharan africa (sdg),Unknown,2001,42.85035,57.14965
sub-saharan africa (sdg),Unknown,2002,42.14705,57.85295
sub-saharan africa (sdg),Unknown,2003,41.63486,58.36514
sub-saharan africa (sdg),Unknown,2004,40.95912,59.04088
sub-saharan africa (sdg),Unknown,2005,41.28656,58.71344
sub-saharan africa (sdg),Unknown,2006,41.58274,58.41726
sub-saharan africa (sdg),Unknown,2007,41.82421,58.17579
sub-saharan africa (sdg),Unknown,2008,41.51771,58.48229
sub-saharan africa (sdg),Unknown,2009,41.05862,58.94138
sub-saharan africa (sdg),Unknown,2010,40.38487,59.61513
sub-saharan africa (sdg),Unknown,2011,38.86994,61.13006
sub-saharan africa (sdg),Unknown,2012,37.6212,62.3788
sub-saharan africa (sdg),Unknown,2013,36.76609,63.23391
sub-saharan africa (sdg),Unknown,2014,36.07675,63.92325
sub-saharan africa (sdg),Unknown,2015,35.47985,64.52015
sub-saharan africa (sdg),Unknown,2016,34.893883,65.10612
sub-saharan africa (sdg),Unknown,2017,34.55497,65.44503
sub-saharan africa (sdg),Unknown,2018,32.932663,67.06734
sub-saharan africa (sdg),Unknown,2019,32.28179,67.71821
sub-saharan africa (sdg),Unknown,2020,32.092796,67.9072
sub-saharan africa (sdg),Unknown,2021,32.101387,67.89861
sub-saharan africa (sdg),Unknown,2022,31.7687,68.2313
sub-saharan africa (sdg),Unknown,2023,31.497803,68.5022
sub-saharan africa (wb),Unknown,1990,47.69314,52.30686
sub-saharan africa (wb),Unknown,1991,47.34836,52.65164
sub-saharan africa (wb),Unknown,1992,46.87456,53.12544
sub-saharan africa (wb),Unknown,1993,46.2932,53.7068
sub-saharan africa (wb),Unknown,1994,45.69079,54.30921
sub-saharan africa (wb),Unknown,1995,45.27845,54.72155
sub-saharan africa (wb),Unknown,1996,44.62188,55.37812
sub-saharan africa (wb),Unknown,1997,43.78176,56.21824
sub-saharan africa (wb),Unknown,1998,43.10839,56.89161
sub-saharan africa (wb),Unknown,1999,42.25474,57.74526
sub-saharan africa (wb),Unknown,2000,43.37245,56.62755
sub-saharan africa (wb),Unknown,2001,42.59986,57.40014
sub-saharan africa (wb),Unknown,2002,41.88409,58.11591
sub-saharan africa (wb),Unknown,2003,41.3541,58.6459
sub-saharan africa (wb),Unknown,2004,40.66668,59.33332
sub-saharan africa (wb),Unknown,2005,40.94321,59.05679
sub-saharan africa (wb),Unknown,2006,41.83189,58.16811
sub-saharan africa (wb),Unknown,2007,42.03662,57.96338
sub-saharan africa (wb),Unknown,2008,41.71435,58.28565
sub-saharan africa (wb),Unknown,2009,41.24289,58.75711
sub-saharan africa (wb),Unknown,2010,40.56746,59.43254
sub-saharan africa (wb),Unknown,2011,39.08286,60.91714
sub-saharan africa (wb),Unknown,2012,37.85399,62.14601
sub-saharan africa (wb),Unknown,2013,37.00359,62.99641
sub-saharan africa (wb),Unknown,2014,36.31276,63.68724
sub-saharan africa (wb),Unknown,2015,35.712486,64.28751
sub-saharan africa (wb),Unknown,2016,35.121742,64.87826
sub-saharan africa (wb),Unknown,2017,34.7697,65.2303
sub-saharan africa (wb),Unknown,2018,33.183434,66.81657
sub-saharan africa (wb),Unknown,2019,32.55835,67.44165
sub-saharan africa (wb),Unknown,2020,32.376213,67.62379
sub-saharan africa (wb),Unknown,2021,32.384323,67.61568
sub-saharan africa (wb),Unknown,2022,32.06427,67.93573
sub-saharan africa (wb),Unknown,2023,31.803757,68.19624
sudan,SDN,2000,39.0,61.0
sudan,SDN,2008,46.0,54.0
suriname,SUR,2004,10.0,90.0
suriname,SUR,2008,5.0,95.0
suriname,SUR,2010,5.0,95.0
suriname,SUR,2012,7.0,93.0
syria,SYR,2002,17.0,83.0
syria,SYR,2004,19.0,81.0
syria,SYR,2021,6.0,94.0
tajikistan,TJK,2000,1.0,99.0
tanzania,TZA,2002,31.0,69.0
tanzania,TZA,2012,22.0,78.0
tanzania,TZA,2015,22.0,78.0
thailand,THA,2000,7.0,93.0
thailand,THA,2005,6.0,94.0
thailand,THA,2010,4.0,96.0
thailand,THA,2013,6.0,94.0
thailand,THA,2015,7.0,93.0
thailand,THA,2016,8.0186,91.9814
thailand,THA,2018,6.0,94.0
thailand,THA,2019,8.73085,91.26915
thailand,THA,2022,8.900131,91.09987
togo,TGO,2000,47.0,53.0
togo,TGO,2006,43.0,57.0
togo,TGO,2009,43.0,57.0
togo,TGO,2011,40.0,60.0
togo,TGO,2015,36.0,64.0
togo,TGO,2019,33.0,67.0
togo,TGO,2022,27.404114,72.59589
tonga,TON,1996,1.0,99.0
tonga,TON,2006,1.0,99.0
tonga,TON,2011,1.0,99.0
tonga,TON,2016,3.0,97.0
tonga,TON,2019,8.9483795,91.05162
trinidad and tobago,TTO,1990,3.0,97.0
tunisia,TUN,2004,26.0,74.0
tunisia,TUN,2007,23.0,77.0
tunisia,TUN,2008,22.0,78.0
tunisia,TUN,2010,21.0,79.0
tunisia,TUN,2011,20.0,80.0
tunisia,TUN,2012,20.0,80.0
tunisia,TUN,2014,21.0,79.0
tunisia,TUN,2018,20.524887,79.47511
tunisia,TUN,2019,19.0,81.0
tunisia,TUN,2021,16.317368,83.68263
tunisia,TUN,2023,13.753181,86.24682
turkey,TUR,1990,21.0,79.0
turkey,TUR,2004,13.0,87.0
turkey,TUR,2005,12.0,88.0
turkey,TUR,2006,12.0,88.0
turkey,TUR,2007,11.0,89.0
turkey,TUR,2009,9.0,91.0
turkey,TUR,2010,7.0,93.0
turkey,TUR,2011,6.0,94.0
turkey,TUR,2012,5.0,95.0
turkey,TUR,2013,5.0,95.0
turkey,TUR,2014,5.0,95.0
turkey,TUR,2015,4.0,96.0
turkey,TUR,2016,4.0,96.0
turkey,TUR,2017,4.0,96.0
turkey,TUR,2019,3.0,97.0
turkey,TUR,2021,3.0,97.0
turkmenistan,TKM,1995,1.0,99.0
uganda,UGA,1991,44.0,56.0
uganda,UGA,2002,32.0,68.0
uganda,UGA,2006,29.0,71.0
uganda,UGA,2010,27.0,73.0
uganda,UGA,2012,30.0,70.0
uganda,UGA,2016,30.898682,69.10132
ukraine,UKR,2001,1.0,99.0
united arab emirates,ARE,2005,10.0,90.0
united arab emirates,ARE,2019,2.0,98.0
united arab emirates,ARE,2021,2.0,98.0
united arab emirates,ARE,2022,2.0,98.0
united arab emirates,ARE,2023,2.0,98.0
upper-middle-income countries,Unknown,1990,18.958862,81.04114
upper-middle-income countries,Unknown,1991,18.41349,81.58651
upper-middle-income countries,Unknown,1992,17.842422,82.15758
upper-middle-income countries,Unknown,1993,17.302101,82.6979
upper-middle-income countries,Unknown,1994,16.768578,83.23142
upper-middle-income countries,Unknown,1995,16.198761,83.80124
upper-middle-income countries,Unknown,1996,15.687309,84.31269
upper-middle-income countries,Unknown,1997,11.283203,88.7168
upper-middle-income countries,Unknown,1998,10.882301,89.1177
upper-middle-income countries,Unknown,1999,10.523552,89.47645
upper-middle-income countries,Unknown,2000,10.123329,89.87667
upper-middle-income countries,Unknown,2001,9.803581,90.19642
upper-middle-income countries,Unknown,2002,9.458611,90.54139
upper-middle-income countries,Unknown,2003,9.018173,90.98183
upper-middle-income countries,Unknown,2004,8.6763,91.3237
upper-middle-income countries,Unknown,2005,8.41584,91.58416
upper-middle-income countries,Unknown,2006,8.131828,91.86817
upper-middle-income countries,Unknown,2007,7.122711,92.87729
upper-middle-income countries,Unknown,2008,6.691139,93.30886
upper-middle-income countries,Unknown,2009,6.5949707,93.40503
upper-middle-income countries,Unknown,2010,6.390808,93.60919
upper-middle-income countries,Unknown,2011,6.249893,93.75011
upper-middle-income countries,Unknown,2012,6.0026093,93.99739
upper-middle-income countries,Unknown,2013,5.9348373,94.06516
upper-middle-income countries,Unknown,2014,5.5831604,94.41684
upper-middle-income countries,Unknown,2015,5.4606476,94.53935
upper-middle-income countries,Unknown,2016,5.238838,94.76116
upper-middle-income countries,Unknown,2017,5.2283173,94.77168
upper-middle-income countries,Unknown,2018,5.0739822,94.92602
upper-middle-income countries,Unknown,2019,4.786087,95.21391
upper-middle-income countries,Unknown,2020,4.6795197,95.32048
upper-middle-income countries,Unknown,2021,4.6469193,95.35308
upper-middle-income countries,Unknown,2022,4.504631,95.49537
upper-middle-income countries,Unknown,2023,4.380478,95.61952
uruguay,URY,1996,3.0,97.0
uruguay,URY,2006,2.0,98.0
uruguay,URY,2007,2.0,98.0
uruguay,URY,2008,2.0,98.0
uruguay,URY,2009,2.0,98.0
uruguay,URY,2010,2.0,98.0
uruguay,URY,2011,2.0,98.0
uruguay,URY,2012,2.0,98.0
uruguay,URY,2013,2.0,98.0
uruguay,URY,2014,2.0,98.0
uruguay,URY,2015,1.0,99.0
uruguay,URY,2016,1.0,99.0
uruguay,URY,2017,1.0,99.0
uruguay,URY,2018,1.0,99.0
uruguay,URY,2019,1.0,99.0
uruguay,URY,2022,1.0,99.0
uzbekistan,UZB,2000,1.0,99.0
uzbekistan,UZB,2013,0.0,100.0
uzbekistan,UZB,2014,0.0,100.0
uzbekistan,UZB,2015,0.0,100.0
uzbekistan,UZB,2016,0.0,100.0
uzbekistan,UZB,2018,0.0,100.0
uzbekistan,UZB,2019,0.0,100.0
uzbekistan,UZB,2021,0.0,100.0
uzbekistan,UZB,2022,0.0,100.0
vanuatu,VUT,1999,26.0,74.0
vanuatu,VUT,2023,12.0396805,87.96032
venezuela,VEN,1990,10.0,90.0
venezuela,VEN,2001,7.0,93.0
venezuela,VEN,2007,5.0,95.0
venezuela,VEN,2009,4.0,96.0
venezuela,VEN,2011,5.0,95.0
venezuela,VEN,2015,3.0,97.0
venezuela,VEN,2016,3.0,97.0
vietnam,VNM,1999,10.0,90.0
vietnam,VNM,2000,10.0,90.0
vietnam,VNM,2009,6.0,94.0
vietnam,VNM,2019,4.0,96.0
vietnam,VNM,2022,4.0,96.0
world,OWID_WRL,1990,25.09298,74.90702
world,OWID_WRL,1991,24.713493,75.28651
world,OWID_WRL,1992,24.30568,75.69432
world,OWID_WRL,1993,23.897552,76.10245
world,OWID_WRL,1994,23.498528,76.50147
world,OWID_WRL,1995,23.08815,76.91185
world,OWID_WRL,1996,22.703682,77.29632
world,OWID_WRL,1997,20.711563,79.28844
world,OWID_WRL,1998,19.531303,80.4687
world,OWID_WRL,1999,19.194,80.806
world,OWID_WRL,2000,19.020767,80.97923
world,OWID_WRL,2001,18.71399,81.28601
world,OWID_WRL,2002,18.35981,81.64019
world,OWID_WRL,2003,17.885712,82.11429
world,OWID_WRL,2004,17.55272,82.44728
world,OWID_WRL,2005,17.545242,82.45476
world,OWID_WRL,2006,17.574707,82.42529
world,OWID_WRL,2007,16.988152,83.01185
world,OWID_WRL,2008,16.614449,83.38555
world,OWID_WRL,2009,16.391289,83.60871
world,OWID_WRL,2010,15.772797,84.2272
world,OWID_WRL,2011,15.58918,84.41082
world,OWID_WRL,2012,15.398582,84.60142
world,OWID_WRL,2013,15.09687,84.90313
world,OWID_WRL,2014,14.713577,85.28642
world,OWID_WRL,2015,14.321091,85.67891
world,OWID_WRL,2016,13.999863,86.00014
world,OWID_WRL,2017,13.822968,86.17703
world,OWID_WRL,2018,13.562492,86.43751
world,OWID_WRL,2019,13.452057,86.54794
world,OWID_WRL,2020,13.252518,86.74748
world,OWID_WRL,2021,13.072456,86.92754
world,OWID_WRL,2022,12.844643,87.15536
world,OWID_WRL,2023,12.643967,87.35603
yemen,YEM,1994,63.0,37.0
zambia,ZMB,1990,35.0,65.0
zambia,ZMB,1999,32.0,68.0
zambia,ZMB,2002,31.0,69.0
zambia,ZMB,2010,17.0,83.0
zambia,ZMB,2018,28.867699,71.1323
zimbabwe,ZWE,1992,16.0,84.0
zimbabwe,ZWE,2019,6.7724533,93.22755
